,date,open,high,low,close,volume,ratio
381,108/01/28,215.21,215.21,213.8,214.74,25986,1.0133
382,108/01/25,212.4,212.86,210.98,211.92,46600,1.0157
383,108/01/24,208.64,208.64,206.77,208.64,26371,1.0091
384,108/01/23,207.7,208.16,206.29,206.76,16644,0.9888
385,108/01/22,206.28,209.1,205.35,209.1,28896,1.009
386,108/01/21,206.29,209.11,206.29,207.23,29332,1.0114
387,108/01/18,205.36,206.3,203.95,204.89,49504,0.9909
388,108/01/17,204.43,207.25,204.43,206.77,21106,1.0138
389,108/01/16,204.89,206.29,203.96,203.96,28919,0.9842
390,108/01/15,203.01,207.23,202.08,207.23,38786,1.0114
391,108/01/14,204.89,206.3,203.49,204.89,17564,0.9909
392,108/01/11,205.37,206.77,204.43,206.77,28055,1.0208
393,108/01/10,202.56,203.03,201.15,202.56,20712,1.0023
394,108/01/09,198.81,203.04,197.88,202.1,46211,1.0213
395,108/01/08,198.83,199.29,196.94,197.89,22642,0.9906
396,108/01/07,198.83,200.71,197.89,199.77,35366,1.024
397,108/01/04,198.37,198.37,193.68,195.09,65822,0.9652
398,108/01/03,200.72,204.47,200.72,202.12,34030,0.9818
399,108/01/02,212.43,212.43,205.39,205.87,32850,0.9734
400,107/12/28,209.63,211.5,208.69,211.5,29400,1.0112
401,107/12/27,208.23,210.1,206.81,209.16,21452,1.03
402,107/12/26,204.95,205.89,202.6,203.07,16425,0.9954
403,107/12/25,202.13,204.47,201.66,204.01,19366,0.9886
404,107/12/24,207.77,207.77,205.89,206.36,22956,0.9932
405,107/12/22,206.37,207.77,206.37,207.77,5152,0.9911
406,107/12/21,205.42,210.11,205.42,209.64,43487,1.0113
407,107/12/20,207.3,208.7,207.3,207.3,35012,0.98
408,107/12/19,208.25,211.53,208.25,211.53,23373,1.0135
409,107/12/18,207.31,209.19,206.84,208.71,30186,0.9955
410,107/12/17,207.31,211.06,206.38,209.65,18925,1.0045
411,107/12/14,209.18,209.65,206.84,208.71,38620,0.9845
412,107/12/13,212.94,213.4,211.06,212.0,32072,0.9978
413,107/12/12,209.66,212.94,208.72,212.47,26413,1.018
414,107/12/11,206.38,209.19,205.44,208.71,27357,1.016
415,107/12/10,205.89,206.36,204.96,205.42,19406,0.991
416,107/12/07,208.7,209.63,206.82,207.29,25046,1.0045
417,107/12/06,206.36,208.24,205.9,206.36,40114,0.9735
418,107/12/05,212.45,213.39,211.05,211.98,42792,0.9658
419,107/12/04,218.56,219.96,216.67,219.49,39725,0.9957
420,107/12/03,216.69,220.44,216.69,220.44,45299,1.0421
421,107/11/30,215.29,216.7,211.53,211.53,55804,0.9847
422,107/11/29,217.16,217.16,214.82,214.82,44364,1.011
423,107/11/28,208.73,212.95,208.26,212.48,24415,1.0112
424,107/11/27,206.37,210.6,205.43,210.13,26569,1.0045
425,107/11/26,205.44,210.13,204.96,209.19,30583,1.0206
426,107/11/23,206.85,206.85,203.56,204.97,14843,0.9977
427,107/11/22,207.79,208.25,205.44,205.44,21899,1.0
428,107/11/21,201.22,206.38,200.75,205.44,35173,1.0046
429,107/11/20,205.44,206.85,204.5,204.5,41513,0.982
430,107/11/19,211.06,211.06,207.31,208.25,48901,0.9823
431,107/11/16,214.81,214.81,211.06,212.0,46710,0.9784
432,107/11/15,215.27,217.62,214.33,216.68,22061,1.0109
433,107/11/14,215.75,216.69,214.34,214.34,20006,1.0044
434,107/11/13,210.59,213.88,210.59,213.4,36082,0.9827
435,107/11/12,215.74,219.97,215.74,217.16,23217,1.0022
