,date,open,high,low,close,volume,ratio
34,108/04/24,270.00,270.00,267.50,269.00,26391,1.0037
35,108/04/23,266.50,268.00,266.00,268.00,25257,1.0075
36,108/04/22,266.50,267.50,265.00,266.00,24866,1.0057
37,108/04/19,269.00,269.50,263.50,264.50,44568,1.0
38,108/04/18,264.00,266.00,263.50,264.50,37943,1.0115
39,108/04/17,260.00,263.00,259.50,261.50,37752,1.0175
40,108/04/16,257.00,257.00,255.50,257.00,19610,1.0059
41,108/04/15,255.00,256.00,254.00,255.50,17156,1.0139
42,108/04/12,251.50,253.00,251.00,252.00,13507,1.0
43,108/04/11,253.00,254.00,251.50,252.00,24853,0.9921
44,108/04/10,253.00,254.50,252.00,254.00,25797,1.0
45,108/04/09,253.00,254.00,252.00,254.00,22298,1.004
46,108/04/08,251.00,253.00,250.50,253.00,45106,1.0264
47,108/04/03,249.00,249.00,246.50,246.50,24905,1.002
48,108/04/02,249.50,249.50,246.00,246.00,24069,1.002
49,108/04/01,251.00,251.00,245.00,245.50,35296,1.0
50,108/03/29,243.00,245.50,240.50,245.50,28174,1.0145
51,108/03/28,240.50,242.50,240.00,242.00,13891,1.0021
52,108/03/27,242.00,242.50,240.50,241.50,22566,0.9898
53,108/03/26,243.00,244.00,241.00,244.00,19879,1.0104
54,108/03/25,240.50,243.50,240.50,241.50,19127,0.9718
55,108/03/22,248.00,248.50,244.50,248.50,22873,1.0122
56,108/03/21,242.50,245.50,241.00,245.50,26122,1.0145
57,108/03/20,242.00,242.00,239.50,242.00,22946,1.0062
58,108/03/19,239.00,240.50,238.00,240.50,14441,0.9979
59,108/03/18,239.50,241.00,239.00,241.00,26804,1.0084
60,108/03/15,237.00,239.50,235.50,239.00,33574,1.0192
61,108/03/14,239.00,239.00,234.00,234.50,17139,0.9895
62,108/03/13,234.00,237.00,234.00,237.00,20450,1.0064
63,108/03/12,233.00,237.00,232.50,235.50,23530,1.0217
64,108/03/11,228.00,230.50,227.50,230.50,23158,1.0022
65,108/03/08,231.00,231.50,229.00,230.00,22073,0.9829
66,108/03/07,235.00,235.00,233.00,234.00,17094,1.0
67,108/03/06,235.00,235.50,233.50,234.00,20408,1.0043
68,108/03/05,234.00,234.50,232.50,233.00,22608,0.9894
69,108/03/04,239.50,239.50,234.50,235.50,39611,0.9854
70,108/02/27,238.50,239.50,237.00,239.00,35201,0.9979
71,108/02/26,239.00,240.00,236.50,239.50,24491,1.0063
72,108/02/25,237.50,239.00,236.00,238.00,24051,1.0063
